sample_id,sample,era,location,n_clusters,prop_sum,prop_sum_diff
OchCCat087,OchCCat087.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat088,OchCCat088.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat090,OchCCat090.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat091,OchCCat091.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat092,OchCCat092.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat094,OchCCat094.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
OchCCat095,OchCCat095.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat096,OchCCat096.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCTum001,OchCTum001.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1.0000001,1.0000000005838672e-7
OchCTum002,OchCTum002.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1,0
OchCTum003,OchCTum003.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1.0000001,1.0000000005838672e-7
OchCTum004,OchCTum004.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1,0
OchCTum005,OchCTum005.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1,0
OchCTum006,OchCTum006.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1.0000001,1.0000000005838672e-7
OchCTum007,OchCTum007.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1,0
OchCTum008,OchCTum008.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,0.9999998999999999,-1.0000000005838672e-7
OchCTum009,OchCTum009.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,0.9999998999999999,-1.0000000005838672e-7
OchCTum010,OchCTum010.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1,0
OchCTum011,OchCTum011.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1,0
OchCTum012,OchCTum012.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1.0000001,1.0000000005838672e-7
OchCTum013,OchCTum013.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1,0
OchCTum014,OchCTum014.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,0.9999998,-2.0000000000575113e-7
OchCTum015,OchCTum015.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,0.9999999,-9.999999994736442e-8
OchCTum016,OchCTum016.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,0.9999998999999999,-1.0000000005838672e-7
OchCTum017,OchCTum017.merged.rmdup.merged.realn.bam,Contemporary,Tum,4,1.0000001,1.0000000005838672e-7
